id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45305964,Lumpini ville Nakhon in - River view studio Cozy,177103834,Thanat,,Bang Sue,13.83689,100.5033,Entire home/apt,388,360,0,,,1,365,0,
8975471,[Monthly] Plum Condominium Paholyothin 89,46549310,Chakree,,Don Mueang,13.96994,100.61852,Private room,5000,300,0,,,1,362,0,
27934,Nice room with superb city view,120437,Nuttee,,Ratchathewi,13.75983,100.54134,Entire home/apt,2034,3,65,2020-01-06,0.51,2,362,0,
27979,"Easy going landlord,easy place",120541,Emy,,Bang Na,13.66818,100.61674,Private room,1405,1,0,,,2,358,0,
31508092,Room for rent good and cheap,223483764,Huangseng,,Bang Na,13.66075,100.57991,Private room,700,1,0,,,1,365,0,
28745,modern-style apartment in Bangkok,123784,Familyroom,,Bang Kapi,13.75232,100.62402,Private room,800,60,0,,,1,365,0,
41974619,The Condo where is near Ratchada Night Market,332276347,Natchaya,,Pra Wet,13.64739,100.68069,Entire home/apt,1000,7,0,,,2,90,0,
33165418,Best Bed Dorm room,234305099,Best Bed,,Lat Krabang,13.71311,100.7395,Shared room,370,1,2,2022-06-06,0.05,4,365,1,
35476,"Near to BTS Onnuch, Airport, Depart",152689,Virinya,,Suanluang,13.71089,100.60424,Private room,857,5,0,,,3,365,0,
35780,Spacious one bedroom at The Kris Condo Bldg. 3,153730,Sirilak,,Din Daeng,13.78823,100.57256,Private room,1943,5,2,2022-04-01,0.03,1,365,1,
30940185,Saen Sabai Hostel (Queen Room for 2),106712116,Nakarin Mo,,Lat Krabang,13.70681,100.73608,Shared room,800,1,0,,,4,365,0,
35807,The escape Condo,153749,Waraporn,,Bang Na,13.67307,100.60768,Private room,2034,1,0,,,1,365,0,
596329491465864431,Comfortable Bed in our Mixed Dorm//FREE BREAKFAST,150076566,BaanChang Guesthouse,,Lat Krabang,13.70018,100.73345,Shared room,445,1,0,,,8,365,0,
48736,Condo with Chaopraya River View,222005,Athitaya,,Rat Burana,13.68556,100.49535,Private room,1664,3,1,2014-02-03,0.01,1,365,0,
679928782624253560,Cheerful 2-bedroom home for up to 6 people,471757920,Punyapak,,Lat Krabang,13.7060106,100.7927006,Entire home/apt,8500,1,0,,,1,365,0,
55681,Sathorn Terrace Apartment(61),263049,Tor,,Bang Rak,13.71934,100.5176,Private room,1150,2,27,2019-01-03,0.19,9,365,0,
15749636,Plum Condo Phaholyothin 89,101795333,ิฺBoonruab,,Don Mueang,13.96915,100.61891,Private room,900,7,0,,,1,365,0,
55686,Comfy bedroom near River pier & BTS  Taksin.,263049,Tor,,Sathon,13.71802,100.51539,Hotel room,2500,2,208,2019-12-02,1.47,9,263,0,
59221,budget hotel bangkok near subway,284095,Mimi,,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,2018-07-30,0.02,2,365,0,
15822754,Wide space@Nontaburi/special price pick-up service,91931301,Tan,,Bang Sue,13.84345,100.50907,Private room,900,14,6,2020-01-24,0.12,2,311,0,
62217,Luxury@swimpool/FreeWiFi/nearJJMkt,302658,Srisuk,,Phaya Thai,13.79152,100.53982,Private room,4438,1,0,,,1,365,0,
677353890259503051,Lovely room 1 unit bedroom Mega Bangna,28831691,Dara,,Pra Wet,13.64303,100.67986,Private room,390,30,1,2022-09-16,1,2,340,1,
34540682,Na Siri Lakeview,145451770,Narutchai,,Pra Wet,13.68988,100.72714,Private room,881,1,2,2020-01-27,0.05,3,94,0,
66046,"24Flr- 1br Apt near JJ, MRT, BTS",323158,Sue,,Chatu Chak,13.82298,100.56484,Entire home/apt,1479,2,9,2020-03-04,0.10,4,365,0,
37280603,태국 방콕 수완나폼공항 인근의 빌라,280658557,Hakjin,,Bang Na,13.64817,100.64624,Entire home/apt,2657,1,0,,,1,358,0,
105042,Central Bangkok 3 Bedroom Apartment,545890,Henry,,Khlong Toei,13.73378,100.56303,Entire home/apt,6065,28,148,2020-01-07,1.11,1,362,0,
28617896,317 Doble Lake Condominium BD.1,53629224,Gyp,,Don Mueang,13.92835,100.54368,Private room,2800,1,1,2019-07-22,0.03,1,365,0,
113744,River View - Ivy Condo (1 Bedroom),578110,Muay,,Rat Burana,13.68568,100.49231,Private room,1479,30,0,,,1,365,0,
118118,Pan Dao Condo 5 min from BTS On Nut,596463,Dustin,,Khlong Toei,13.70441,100.59968,Entire home/apt,1849,2,3,2013-10-09,0.02,1,365,0,
40546180,"cozy stay+City+MRT near Chatuchak,Pool&gym,kitchen",236102145,Jetsada,,Bang Sue,13.84256,100.51071,Private room,590,7,0,,,2,363,0,
121410,"MetroPoint Suite Room, Near Airport",610315,Kasem,,Bang Kapi,13.76747,100.63287,Private room,1190,1,0,,,3,365,0,
145343,Boutique Rooms Near Bangkok Airport,703944,Parinya,,Lat Krabang,13.721868,100.771713,Private room,1200,1,24,2022-08-23,0.25,1,362,10,
38912416,Na Siri Lakeview,145451770,Narutchai,,Lat Krabang,13.70556,100.73,Private room,900,1,0,,,3,94,0,
156583,Studio near Chula University/Silom walk to MRT/BTS,58920,Gael,,Bang Rak,13.7285,100.52313,Entire home/apt,1000,30,62,2022-03-31,0.48,2,150,1,
28442286,Into The Forest Resort,214716463,Nuttiti,,Pra Wet,13.65097,100.68231,Private room,2700,1,1,2018-11-17,0.02,1,365,0,
159854,Deluxe one Bedroom Condo w.Pool-GYM & Sauna 8-7,766443,Gerd,,Vadhana,13.74293,100.55603,Entire home/apt,1664,3,209,2022-08-16,1.60,3,314,4,
166267,1Bed apt. near Chula University/Silom near MRT/BTS,58920,Gael,,Bang Rak,13.72733,100.52555,Entire home/apt,1200,30,68,2022-08-05,0.53,2,335,2,
31630528,Privated room with bathroom in House/near Mega,230855823,Picha,,Bang Na,13.66046,100.65885,Private room,3600,19,1,2019-01-21,0.02,1,90,0,
